Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
32.;08.08.;MI;1;3;7;5;1;1;4;4.683.615,00   ;JP;;1.473.445,10   ;2  x   ;37  x   ;259  x   ;2.517  x   ;26.866  x   ;270.129  x   ;;;;
;11.08.;SA;3;3;3;5;5;6;7;12.372.697,50   ;1  x   ;2.270.000,00   ;28.704,00   ;9  x   ;79  x   ;842  x   ;8.627  x   ;81.593  x   ;830.016  x   ;;;;
33.;15.08.;MI;0;8;3;4;0;2;5;4.481.554,50   ;JP;;327.623,70   ;1  x   ;31  x   ;276  x   ;2.916  x   ;31.494  x   ;305.862  x   ;;;;
;18.08.;SA;5;9;7;5;3;7;3;11.838.520,50   ;1  x   ;1.070.000,00   ;47.253,00   ;6  x   ;82  x   ;707  x   ;7.333  x   ;71.827  x   ;722.731  x   ;;;;
34.;22.08.;MI;7;8;4;3;3;0;6;4.626.322,50   ;1  x   ;270.000,00   ;85.828,70   ;5  x   ;22  x   ;287  x   ;2.695  x   ;26.581  x   ;301.836  x   ;;;;
;25.08.;SA;7;9;6;1;5;3;7;12.199.294,50   ;JP;;899.521,60   ;10  x   ;87  x   ;798  x   ;8.296  x   ;81.173  x   ;818.542  x   ;;;;
35.;29.08.;MI;2;2;1;5;2;1;9;5.148.031,50   ;JP;;1.242.895,30   ;3  x   ;31  x   ;283  x   ;2.943  x   ;28.059  x   ;290.211  x   ;;;;
;01.09.;SA;0;2;0;9;9;5;7;13.504.417,50   ;3  x   ;670.000,00   ;133.639,90   ;9  x   ;85  x   ;909  x   ;9.759  x   ;93.338  x   ;903.286  x   ;;;;
36.;05.09.;MI;9;8;5;4;5;5;9;6.530.794,50   ;JP;;569.243,90   ;unbesetzt;38  x   ;401  x   ;3.700  x   ;38.587  x   ;369.681  x   ;;;;
;08.09.;SA;8;3;8;9;0;5;9;15.039.711,00   ;JP;;1.572.392,60   ;11  x   ;89  x   ;891  x   ;8.827  x   ;92.019  x   ;879.705  x   ;;;;
37.;12.09.;MI;6;6;4;3;8;0;6;4.896.202,50   ;JP;;1.898.969,30   ;4  x   ;27  x   ;271  x   ;2.776  x   ;28.283  x   ;319.137  x   ;;;;
;15.09.;SA;6;2;3;9;2;8;2;12.242.835,00   ;2  x   ;1.270.000,00   ;175.566,40   ;6  x   ;57  x   ;645  x   ;6.523  x   ;65.592  x   ;654.520  x   ;;;;
38.;19.09.;MI;4;2;0;1;0;3;1;4.584.202,50   ;2  x   ;170.000,00   ;141.332,70   ;2  x   ;29  x   ;287  x   ;2.431  x   ;26.310  x   ;250.289  x   ;;;;
;22.09.;SA;1;4;3;9;6;9;9;11.956.720,50   ;JP;;938.846,00   ;5  x   ;58  x   ;719  x   ;7.014  x   ;69.407  x   ;713.615  x   ;;;;
39.;26.09.;MI;7;0;3;5;1;3;6;4.839.730,50   ;1  x   ;1.170.000,00   ;91.656,00   ;7  x   ;37  x   ;313  x   ;3.209  x   ;32.677  x   ;312.293  x   ;;;;
;29.09.;SA;1;6;1;4;5;6;8;12.718.482,00   ;JP;;939.978,70   ;10  x   ;94  x   ;917  x   ;9.274  x   ;91.637  x   ;874.339  x   ;;;;
40.;03.10.;MI;5;6;4;4;8;9;7;5.565.858,00   ;JP;;1.311.221,40   ;6  x   ;33  x   ;335  x   ;3.497  x   ;34.483  x   ;368.856  x   ;;;;
;06.10.;SA;9;8;7;7;2;5;4;13.765.713,00   ;1  x   ;2.170.000,00   ;59.394,50   ;5  x   ;70  x   ;876  x   ;8.295  x   ;83.378  x   ;790.763  x   ;;;;
41.;10.10.;MI;9;3;7;3;4;6;8;4.734.241,50   ;1  x   ;370.000,00   ;5.168,40   ;1  x   ;37  x   ;345  x   ;3.647  x   ;34.033  x   ;325.471  x   ;;;;
;13.10.;SA;5;9;6;9;1;9;5;12.236.520,00   ;JP;;821.344,30   ;10  x   ;88  x   ;762  x   ;8.096  x   ;79.220  x   ;835.689  x   ;;;;
42.;17.10.;MI;6;0;7;3;1;2;5;4.538.784,00   ;JP;;1.124.081,20   ;3  x   ;30  x   ;343  x   ;3.067  x   ;31.514  x   ;306.107  x   ;;;;
