Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
VA;2017;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
;26.08.;SA;0;0;9;8;9;6;7;11.977.722,50   ;JP;;1.294.738,90   ;8  x   ;48  x   ;536  x   ;5.556  x   ;52.916  x   ;532.741  x   ;;;;
35.;30.08.;MI;4;9;0;5;4;7;2;5.204.735,00   ;JP;;1.664.795,60   ;2  x   ;26  x   ;176  x   ;1.637  x   ;16.608  x   ;165.272  x   ;;;;
;02.09.;SA;7;0;1;2;9;6;6;12.576.545,00   ;1  x   ;2.477.777,00   ;81.210,90   ;5  x   ;60  x   ;460  x   ;5.072  x   ;51.017  x   ;459.746  x   ;;;;
36.;06.09.;MI;8;7;3;2;5;0;5;5.532.692,50   ;JP;;474.585,30   ;1  x   ;17  x   ;194  x   ;1.927  x   ;18.635  x   ;232.819  x   ;;;;
;09.09.;SA;3;4;0;6;1;1;4;12.795.540,00   ;1  x   ;1.377.777,00   ;6.571,20   ;3  x   ;42  x   ;412  x   ;4.119  x   ;42.870  x   ;428.034  x   ;;;;
37.;13.09.;MI;3;3;0;5;7;6;8;5.014.690,00   ;JP;;363.115,70   ;1  x   ;19  x   ;218  x   ;2.020  x   ;20.256  x   ;191.826  x   ;;;;
;16.09.;SA;4;7;4;1;6;0;0;12.054.122,50   ;JP;;1.220.163,80   ;2  x   ;32  x   ;336  x   ;3.340  x   ;35.099  x   ;315.427  x   ;;;;
38.;20.09.;MI;2;6;8;2;0;8;0;5.110.265,00   ;JP;;1.583.503,60   ;1  x   ;10  x   ;126  x   ;1.319  x   ;14.057  x   ;142.322  x   ;;;;
;23.09.;SA;8;6;5;8;8;5;6;12.094.710,00   ;1  x   ;2.377.777,00   ;65.660,50   ;4  x   ;45  x   ;469  x   ;4.950  x   ;48.278  x   ;444.180  x   ;;;;
39.;27.09.;MI;3;0;4;0;1;9;4;4.849.945,00   ;JP;;410.491,60   ;2  x   ;15  x   ;152  x   ;1.434  x   ;14.889  x   ;164.648  x   ;;;;
;30.09.;SA;0;9;0;2;6;1;9;12.117.307,50   ;1  x   ;1.177.777,00   ;94.255,20   ;4  x   ;40  x   ;437  x   ;4.185  x   ;41.966  x   ;453.100  x   ;;;;
40.;04.10.;MI;6;1;7;0;4;9;3;4.951.950,00   ;JP;;446.338,80   ;2  x   ;20  x   ;175  x   ;1.705  x   ;17.781  x   ;198.777  x   ;;;;
;07.10.;SA;1;4;1;2;6;8;1;12.165.617,50   ;2  x   ;577.777,00   ;155.760,20   ;3  x   ;36  x   ;372  x   ;3.726  x   ;36.442  x   ;362.968  x   ;;;;
41.;11.10.;MI;0;8;3;6;1;0;4;5.405.220,00   ;JP;;540.071,30   ;2  x   ;16  x   ;202  x   ;1.653  x   ;16.494  x   ;184.087  x   ;;;;
;14.10.;SA;6;6;6;3;1;4;9;12.809.035,00   ;JP;;1.450.793,70   ;7  x   ;61  x   ;470  x   ;4.807  x   ;48.493  x   ;473.029  x   ;;;;
42.;18.10.;MI;3;8;8;8;3;1;1;4.975.437,50   ;JP;;1.804.547,30   ;2  x   ;14  x   ;130  x   ;1.533  x   ;16.174  x   ;146.788  x   ;;;;
;21.10.;SA;5;5;2;7;2;3;1;12.196.952,50   ;JP;;2.671.750,60   ;3  x   ;33  x   ;336  x   ;3.765  x   ;37.511  x   ;365.699  x   ;;;;
43.;25.10.;MI;6;7;3;5;3;8;5;5.079.047,50   ;JP;;3.032.870,90   ;1  x   ;21  x   ;231  x   ;2.094  x   ;20.700  x   ;211.730  x   ;;;;
;28.10.;SA;7;2;2;6;9;2;9;12.205.277,50   ;1  x   ;3.877.777,00   ;22.889,10   ;2  x   ;46  x   ;450  x   ;4.697  x   ;45.711  x   ;455.896  x   ;;;;
44.;01.11.;MI;9;4;6;1;0;4;2;5.017.235,00   ;JP;;379.614,50   ;2  x   ;18  x   ;157  x   ;1.472  x   ;16.142  x   ;158.126  x   ;;;;
;04.11.;SA;9;5;2;5;4;4;3;12.574.037,50   ;2  x   ;577.777,00   ;118.074,60   ;3  x   ;49  x   ;477  x   ;4.493  x   ;46.256  x   ;469.712  x   ;;;;
45.;08.11.;MI;5;1;8;4;4;2;2;5.600.137,50   ;JP;;516.244,40   ;1  x   ;21  x   ;188  x   ;1.782  x   ;18.607  x   ;177.325  x   ;;;;
;11.11.;SA;3;1;6;7;5;1;5;13.167.957,50   ;JP;;1.452.486,20   ;8  x   ;53  x   ;487  x   ;5.710  x   ;53.949  x   ;554.335  x   ;;;;
