Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1997;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;;;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;
42.;18.10.;7;2;0;5;5;6;5;25.117.327,50;1 x;1.877.777,00   ;27.981,70   ;12 x           ;94 x         ;1.035 x         ;9.804 x        ;97.898 x    ;964.199 x    ;;1.086.349;;1.877.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
43.;25.10.;1;8;5;3;1;6;8;25.212.192,50;3 x;577.777,00   ;87.237,60   ;8 x           ;98 x         ;949 x         ;9.933 x        ;96.299 x    ;955.731 x    ;;1.073.043;;1.733.331;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
44.;01.11.;9;9;1;6;3;4;9;26.218.650,00;1 x;1.877.777,00   ;73.606,60   ;15 x           ;107 x         ;1.020 x         ;9.967 x        ;98.392 x    ;959.907 x    ;;1.063.021;;1.877.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
45.;08.11.;2;8;2;5;9;9;8;29.268.917,50;3 x;677.777,00   ;121.295,60   ;12 x           ;87 x         ;1.088 x         ;10.760 x        ;109.844 x    ;1.098.817 x    ;;1.069.409;;2.033.331;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
46.;15.11.;8;7;3;6;8;9;8;26.352.790,00;JP;;1.994.979,00   ;11 x           ;93 x         ;994 x         ;10.114 x        ;99.296 x    ;990.162 x    ;;1.220.611;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
47.;22.11.;8;4;0;2;3;4;4;26.010.365,00;JP;;3.844.316,00   ;9 x           ;95 x         ;890 x         ;9.125 x        ;92.815 x    ;904.585 x    ;;1.100.670;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
48.;29.11.;1;7;3;0;1;2;7;27.346.212,50;4 x;1.377.777,00   ;277.523,70   ;7 x           ;96 x         ;1.054 x         ;10.955 x        ;107.733 x    ;1.056.573 x    ;;1.007.519;;5.511.108;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
49.;06.12.;4;5;0;3;4;5;4;31.999.737,50;JP;;2.552.705,00   ;10 x           ;122 x         ;1.161 x         ;11.393 x        ;113.758 x    ;1.104.073 x    ;;1.176.422;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
50.;13.12.;6;5;2;8;2;8;7;27.300.782,50;1 x;4.477.777,00   ;16.013,60   ;5 x           ;101 x         ;1.038 x         ;10.576 x        ;103.302 x    ;1.056.102 x    ;;1.230.517;;4.477.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
51.;20.12.;2;5;1;7;8;6;9;28.193.215,00;JP;;2.020.551,20   ;13 x           ;114 x         ;1.076 x         ;10.619 x        ;106.519 x    ;1.042.601 x    ;;1.171.125;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
52.;27.12.;5;7;5;6;8;8;3;26.022.615,00;3 x;1.277.777,00   ;37.428,10   ;10 x           ;93 x         ;912 x         ;8.765 x        ;93.309 x    ;945.864 x    ;;1.160.942;;3.833.331;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
53.;;;;;;;;;;;;;;;;;;;;1.048.956;;;;;;;;;
;;;;;;;Gewinne Gesamt;;;64   ;;;487 x           ;4.850 x         ;47.932 x         ;479.470 x        ;4.806.174;48.019.840;;;;96.677.728;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#VALUE!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
