Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;20Mio;10Mio;7,5Mio;5Mio;2,5Mio;1,5Mio;1Mio;0,5Mio;0,25Mio;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;1;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;2;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;2;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;3;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;1;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;2;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;1;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;1;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;2;0;0;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;2;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;3;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;1;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;1;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;1;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;1;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;1;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;0;0;0;0;1;0;0;0;0;;
;;;;;;;;;;0;0;0;1;9;13;11;5;7;;
