LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
21.;26.05.;MI;49;39;16;6;11;41;33;9;32.271.335,25;JP;17.821.432,10;4  x  ;322.713,30;22  x  ;36.671,90;665  x  ;3.154,30;2.012  x  ;160,3;39.216  x  ;41,1;58.473  x  ;22;717.466  x  ;9,8
;29.05.;SA;47;46;20;33;26;17;8;1;67.809.366,75;2  x  ;10.605.950,20;3  x  ;904.124,80;21  x  ;80.725,40;1.281  x  ;3.440,70;3.162  x  ;214,4;78.831  x  ;43;95.389  x  ;28,4;1.514.822  x  ;9,8
22.;02.06.;MI;9;34;18;23;32;20;12;0;24.028.065,75;2  x  ;600.701,60;26  x  ;36.966,20;56  x  ;10.726,80;1.513  x  ;1.032,20;2.601  x  ;92,3;46.737  x  ;25,7;52.071  x  ;18,4;625.778  x  ;8,4
;05.06.;SA;28;5;43;46;32;21;14;8;49.112.529,00;JP;2.455.626,40;1  x  ;1.964.501,10;31  x  ;39.606,80;1.019  x  ;3.132,70;2.954  x  ;166,2;51.349  x  ;47,8;70.527  x  ;27,8;947.194  x  ;11,4
23.;09.06.;MI;25;29;42;14;33;37;7;3;22.795.404,00;JP;3.595.396,60;1  x  ;911.816,10;11  x  ;51.807,70;399  x  ;3.713,50;1.646  x  ;138,4;22.712  x  ;50,1;40.760  x  ;22,3;418.872  x  ;11,9
;12.06.;SA;9;20;17;4;25;35;48;4;58.187.395,50;1  x  ;6.504.766,30;7  x  ;332.499,40;41  x  ;35.480,10;1.745  x  ;2.167,40;3.568  x  ;163;86.138  x  ;33,7;94.729  x  ;24,5;1.504.651  x  ;8,5
24.;16.06.;MI;40;7;34;29;28;27;12;0;21.407.091,75;JP;1.070.354,50;1  x  ;856.283,60;12  x  ;44.598,10;261  x  ;5.331,20;1.247  x  ;171,6;20.551  x  ;52;37.390  x  ;22,9;418.051  x  ;11,2
;19.06.;SA;42;21;13;22;41;14;28;6;48.381.124,50;1  x  ;3.489.410,70;3  x  ;645.081,60;44  x  ;27.489,20;885  x  ;3.553,40;2.229  x  ;217;39.457  x  ;61,3;99.630  x  ;19,4;798.555  x  ;13,3
25.;23.06.;MI;1;23;48;25;18;44;11;5;21.025.362,75;JP;1.051.268,10;JP;841.014,50;2  x  ;262.817,00;387  x  ;3.531,30;1.183  x  ;177,7;20.188  x  ;52;37.166  x  ;22,6;401.737  x  ;11,5
;26.06.;SA;25;48;41;39;49;33;21;3;47.649.847,50;1  x  ;3.433.760,40;5  x  ;549.401,60;23  x  ;51.793,30;1.608  x  ;1.926,10;2.414  x  ;197,3;86.990  x  ;27,3;70.850  x  ;26,9;1.161.580  x  ;9
26.;30.06.;MI;33;2;36;13;14;7;21;6;22.663.180,50;JP;1.133.159,00;1  x  ;906.527,20;19  x  ;29.819,90;410  x  ;3.592,90;1.793  x  ;126,3;25.499  x  ;44,4;46.943  x  ;19,3;483.247  x  ;10,3
;03.07.;SA;1;27;13;45;46;47;2;8;47.819.790,75;1  x  ;3.524.148,50;3  x  ;637.597,20;26  x  ;45.980,50;707  x  ;4.396,40;2.055  x  ;232,6;43.050  x  ;55,5;57.745  x  ;33,1;885.051  x  ;11,8
;;; ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
27.;07.07.;MI;42;28;17;32;35;6;34;6;20.988.459,75;2  x  ;524.711,40;2  x  ;419.769,10;6  x  ;87.451,90;492  x  ;2.772,80;1.053  x  ;199,3;26.336  x  ;39,8;31.404  x  ;26,7;458.810  x  ;10
