;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2015;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;
;25.04.;SA;3;1;36;7;11;23;6;57.265.834,00  ;JP;24.722.581,80  ;5  x  ;412.478,30  ;185  x  ;5.574,00  ;1.685  x  ;1.835,90  ;9.282  x  ;111,00  ;83.127  x  ;24,80  ;137.691  x  ;14,90  ;1.199.722  x  ;7,70  ;868.797  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
18.;29.04.;MI;43;38;41;7;20;9;6;32.330.457,00  ;JP;26.791.731,00  ;2  x  ;587.344,70  ;62  x  ;9.473,30  ;613  x  ;2.874,40  ;3.347  x  ;175,40  ;28.140  x  ;41,70  ;60.980  x  ;19,20  ;518.008  x  ;10,20  ;469.837  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;02.05.;SA;3;18;45;9;6;7;9;60.678.107,00  ;2  x  ;15.337.564,90  ;4  x  ;547.202,10  ;212  x  ;5.162,20  ;1.559  x  ;2.105,90  ;10.341  x  ;105,80  ;90.884  x  ;24,00  ;148.392  x  ;14,70  ;1.360.024  x  ;7,20  ;913.514  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
19.;06.05.;MI;38;6;26;2;40;43;7;22.932.042,00  ;JP;1.467.650,60  ;1  x  ;831.800,00  ;49  x  ;8.487,70  ;408  x  ;3.058,00  ;3.406  x  ;122,10  ;29.046  x  ;28,60  ;46.766  x  ;17,70  ;384.129  x  ;9,70  ;336.074  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;09.05.;SA;7;29;35;14;41;13;3;49.910.569,00  ;JP;4.661.927,00  ;JP;1.846.918,80  ;97  x  ;9.520,20  ;690  x  ;4.015,00  ;4.677  x  ;197,40  ;38.404  x  ;48,00  ;86.460  x  ;21,30  ;729.236  x  ;11,30  ;658.364  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
20.;13.05.;MI;39;20;49;3;7;27;1;23.941.182,00  ;JP;6.194.162,60  ;1  x  ;2.738.785,30  ;38  x  ;11.735,00  ;455  x  ;2.940,20  ;2.310  x  ;193,00  ;24.488  x  ;36,40  ;41.502  x  ;21,40  ;439.572  x  ;9,10  ;303.938  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;16.05.;SA;34;16;15;47;14;40;5;49.439.855,00  ;JP;9.358.313,30  ;3  x  ;612.137,70  ;60  x  ;15.303,40  ;395  x  ;6.973,70  ;3.312  x  ;277,20  ;24.696  x  ;74,30  ;70.815  x  ;25,90  ;540.517  x  ;15,20  ;638.329  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
21.;20.05.;MI;33;38;26;2;11;30;7;24.778.945,00  ;JP;10.944.165,70  ;JP;876.309,50  ;59  x  ;7.426,30  ;458  x  ;2.870,00  ;3.385  x  ;129,40  ;26.038  x  ;33,60  ;58.723  x  ;14,90  ;455.110  x  ;8,60  ;408.105  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;23.05.;SA;28;46;4;6;14;27;0;51.835.715,00  ;1  x  ;14.261.651,40  ;3  x  ;959.509,20  ;63  x  ;15.890,60  ;712  x  ;4.218,10  ;3.494  x  ;286,50  ;41.557  x  ;48,10  ;66.977  x  ;29,80  ;798.387  x  ;11,20  ;515.638  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
22.;27.05.;MI;4;11;14;29;8;12;2;21.136.219,00  ;JP;1.352.718,00  ;4  x  ;196.492,20  ;51  x  ;7.705,50  ;630  x  ;1.871,30  ;2.617  x  ;150,10  ;26.746  x  ;29,30  ;39.959  x  ;19,60  ;397.447  x  ;8,80  ;271.140  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;30.05.;SA;31;3;24;2;44;11;0;48.241.441,00  ;JP;4.440.170,20  ;4  x  ;457.745,00  ;69  x  ;13.267,90  ;837  x  ;3.281,30  ;4.092  x  ;223,70  ;50.499  x  ;36,20  ;76.634  x  ;23,80  ;936.962  x  ;8,70  ;544.693  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
23.;03.06.;MI;48;20;37;23;8;24;6;23.059.778,00  ;JP;5.915.995,90  ;1  x  ;846.698,30  ;39  x  ;10.855,10  ;323  x  ;3.932,00  ;2.072  x  ;204,30  ;16.256  x  ;52,00  ;40.649  x  ;20,80  ;332.038  x  ;11,40  ;317.416  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;06.06.;SA;15;22;29;48;41;16;0;48.133.445,00  ;JP;8.996.536,30  ;1  x  ;1.898.214,70  ;39  x  ;24.336,00  ;457  x  ;6.230,40  ;2.107  x  ;450,40  ;25.979  x  ;73,00  ;44.574  x  ;42,50  ;535.953  x  ;15,90  ;400.807  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
24.;10.06.;MI;45;34;12;2;40;22;0;23.956.413,00  ;JP;10.529.746,70  ;2  x  ;465.150,00  ;38  x  ;12.240,70  ;416  x  ;3.354,40  ;1.601  x  ;290,50  ;18.957  x  ;49,00  ;29.054  x  ;32,00  ;345.919  x  ;12,10  ;228.399  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;13.06.;SA;43;5;4;26;1;18;0;50.316.729,00  ;JP;13.750.017,30  ;JP;1.931.186,30  ;69  x  ;13.994,10  ;716  x  ;4.045,70  ;3.818  x  ;252,90  ;44.265  x  ;43,60  ;72.337  x  ;26,60  ;852.784  x  ;10,10  ;525.246  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
25.;17.06.;MI;12;15;48;8;37;41;2;25.721.124,00  ;JP;15.396.169,20  ;2  x  ;1.455.138,10  ;39  x  ;12.552,40  ;345  x  ;4.256,90  ;1.832  x  ;267,20  ;18.196  x  ;53,80  ;34.124  x  ;28,60  ;349.265  x  ;12,60  ;284.702  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;20.06.;SA;6;21;32;38;16;35;4;52.648.633,00  ;JP;18.765.681,70  ;10  x  ;195.679,10  ;113  x  ;8.658,30  ;995  x  ;2.949,90  ;5.416  x  ;180,60  ;49.773  x  ;39,30  ;97.283  x  ;20,10  ;885.788  x  ;9,90  ;677.378  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
