LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
20.;18.05.;MI;41;31;10;19;13;26;4;22.735.942,00  ;1  x  ;1.455.100,20  ;4  x  ;207.535,80  ;105  x  ;3.953,00  ;1.071  x  ;1.162,60  ;3.893  x  ;106,60  ;37.069  x  ;22,30  ;51.981  x  ;15,90  ;494.237  x  ;7,50  ;322.287  x  ;;;;
;21.05.;SA;48;5;46;47;2;29;4;46.826.177,00  ;JP;2.996.875,30  ;JP;1.780.180,80  ;57  x  ;15.615,60  ;473  x  ;5.645,30  ;2.837  x  ;313,70  ;28.770  x  ;61,80  ;62.058  x  ;28,60  ;608.395  x  ;13,10  ;522.881  x  ;;;;
21.;25.05.;MI;30;10;36;21;6;9;6;23.120.152,00  ;JP;4.476.565,00  ;3  x  ;870.958,40  ;50  x  ;8.326,90  ;447  x  ;2.794,20  ;2.725  x  ;152,70  ;21.357  x  ;38,90  ;50.720  x  ;16,40  ;394.983  x  ;9,40  ;350.688  x  ;;;;
;28.05.;SA;9;17;5;45;39;24;3;47.349.893,00  ;JP;7.506.958,10  ;6  x  ;281.999,40  ;127  x  ;6.661,40  ;1.152  x  ;2.203,10  ;6.438  x  ;131,40  ;55.193  x  ;30,60  ;108.815  x  ;15,50  ;923.960  x  ;8,20  ;744.917  x  ;;;;
22.;01.06.;MI;25;35;30;40;46;19;2;24.449.861,00  ;2  x  ;4.535.874,60  ;5  x  ;184.074,60  ;64  x  ;7.190,40  ;566  x  ;2.439,10  ;2.429  x  ;189,40  ;24.559  x  ;37,40  ;39.834  x  ;23,10  ;392.754  x  ;10,50  ;291.281  x  ;;;;
;04.06.;SA;6;22;35;42;31;5;3;47.099.277,00  ;JP;3.014.353,70  ;3  x  ;582.987,80  ;57  x  ;15.341,70  ;502  x  ;5.225,90  ;3.416  x  ;255,90  ;31.569  x  ;55,40  ;72.694  x  ;24,00  ;652.674  x  ;12,00  ;609.130  x  ;;;;
23.;08.06.;MI;48;44;30;2;5;33;6;22.437.310,00  ;JP;4.450.341,50  ;7  x  ;117.536,60  ;39  x  ;10.548,10  ;349  x  ;3.536,20  ;2.200  x  ;186,90  ;18.374  x  ;44,70  ;39.098  x  ;21,00  ;336.042  x  ;11,00  ;311.021  x  ;;;;
;11.06.;SA;45;6;13;27;21;38;5;47.401.782,00  ;JP;7.484.055,50  ;4  x  ;427.172,40  ;96  x  ;8.899,40  ;830  x  ;3.087,90  ;4.871  x  ;175,30  ;36.291  x  ;47,00  ;90.076  x  ;18,90  ;692.996  x  ;11,00  ;716.056  x  ;;;;
24.;15.06.;MI;7;12;33;48;49;13;7;23.606.663,00  ;1  x  ;8.994.881,90  ;2  x  ;409.242,20  ;79  x  ;5.180,20  ;459  x  ;2.674,70  ;3.832  x  ;106,70  ;24.491  x  ;33,40  ;62.215  x  ;13,10  ;420.065  x  ;8,70  ;421.532  x  ;;;;
;18.06.;SA;8;27;2;17;12;19;1;46.825.196,00  ;1  x  ;2.996.812,50  ;10  x  ;172.988,70  ;177  x  ;4.886,60  ;1.623  x  ;1.598,70  ;6.481  x  ;133,40  ;69.153  x  ;25,00  ;96.875  x  ;17,80  ;1.036.149  x  ;7,50  ;623.383  x  ;;;;
