LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;
KW;2003;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;
31.;30.07.;MI;17;37;39;40;45;8;19;6;24.271.785,00  ;JP;728.153,50  ;2  x  ;485.435,70  ;15  x  ;40.452,90  ;444  x  ;3.553,30  ;1.580  x  ;153,60  ;27.205  x  ;49,00  ;43.538  x  ;30,60  ;513.230  x  ;10,40  ;;;;;
;02.08.;SA;21;12;2;15;1;3;14;3;70.741.251,00  ;1  x  ;4.265.216,00  ;7  x  ;404.235,70  ;68  x  ;26.007,80  ;2.363  x  ;1.945,90  ;5.394  x  ;131,10  ;103.592  x  ;34,10  ;104.343  x  ;27,10  ;1.685.527  x  ;9,20  ;;;;;
32.;06.08.;MI;17;25;35;38;45;7;1;6;24.280.449,75  ;JP;1.214.022,40  ;2  x  ;485.608,90  ;22  x  ;27.591,40  ;841  x  ;1.876,60  ;1.485  x  ;163,50  ;33.720  x  ;36,00  ;39.210  x  ;24,70  ;583.920  x  ;9,10  ;;;;;
;09.08.;SA;12;2;1;31;34;11;25;8;70.233.571,50  ;JP;4.725.700,90  ;3  x  ;936.447,60  ;41  x  ;42.825,30  ;1.875  x  ;2.434,70  ;4.737  x  ;148,20  ;90.368  x  ;38,80  ;141.545  x  ;19,80  ;1.609.830  x  ;9,50  ;;;;;
33.;13.08.;MI;9;27;18;6;3;48;23;5;27.660.883,50  ;1  x  ;6.108.745,00  ;12  x  ;92.202,90  ;36  x  ;19.208,90  ;2.168  x  ;829,30  ;3.355  x  ;82,40  ;64.614  x  ;21,40  ;66.845  x  ;16,50  ;806.637  x  ;7,50  ;;;;;
;16.08.;SA;12;45;38;17;4;14;39;6;70.672.467,00  ;1  x  ;3.533.623,30  ;4  x  ;706.724,60  ;27  x  ;65.437,40  ;1.294  x  ;3.550,00  ;5.293  x  ;133,50  ;79.168  x  ;44,60  ;105.391  x  ;26,80  ;1.538.017  x  ;10,10  ;;;;;
34.;20.08.;MI;48;24;42;38;45;44;23;5;24.269.148,75  ;JP;1.213.457,40  ;2  x  ;485.382,90  ;5  x  ;121.345,70  ;760  x  ;2.075,60  ;1.077  x  ;225,30  ;33.084  x  ;36,60  ;31.647  x  ;30,60  ;530.177  x  ;10,00  ;;;;;
;23.08.;SA;34;31;15;2;7;6;32;6;70.187.420,25  ;JP;4.722.828,40  ;5  x  ;561.499,30  ;39  x  ;44.991,90  ;1.424  x  ;3.203,70  ;3.283  x  ;213,70  ;84.473  x  ;41,50  ;99.898  x  ;28,10  ;1.575.541  x  ;9,80  ;;;;;
35.;27.08.;MI;19;23;8;48;5;35;24;0;26.397.463,50  ;JP;6.042.701,50  ;2  x  ;527.949,20  ;14  x  ;47.138,30  ;790  x  ;2.171,90  ;1.480  x  ;178,30  ;36.177  x  ;36,40  ;43.252  x  ;24,40  ;607.302  x  ;9,50  ;;;;;
;30.08.;SA;33;7;25;19;49;42;8;7;77.945.793,75  ;3  x  ;3.313.330,30  ;10  x  ;311.783,10  ;69  x  ;28.241,20  ;3.096  x  ;1.636,40  ;5.460  x  ;142,70  ;133.841  x  ;29,10  ;139.899  x  ;22,20  ;2.220.617  x  ;7,70  ;;;;;
