LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
KW;2004;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
;15.05.;SA;3;34;23;8;32;29;43;1;67.771.190,25  ;JP;3.388.559,50  ;3  x  ;903.615,80  ;26  x  ;65.164,60  ;1.241  x  ;3.549,60  ;3.554  x  ;190,60  ;71.892  x  ;47,10  ;101.141  x  ;26,80  ;1.436.786  x  ;10,30  ;;;;;;
21.;19.05.;MI;24;3;44;27;19;13;29;7;26.357.406,75  ;JP;4.706.429,80  ;6  x  ;175.716,00  ;18  x  ;36.607,50  ;950  x  ;1.803,40  ;1.862  x  ;141,50  ;43.716  x  ;30,10  ;44.854  x  ;23,50  ;709.208  x  ;8,10  ;;;;;;
;22.05.;SA;44;43;26;31;5;18;14;7;67.990.453,50  ;JP;8.105.952,40  ;4  x  ;679.904,50  ;35  x  ;48.564,60  ;1.621  x  ;2.726,30  ;3.322  x  ;204,60  ;83.958  x  ;40,40  ;90.679  x  ;29,90  ;1.482.956  x  ;10,00  ;;;;;;
22.;26.05.;MI;35;12;40;17;21;8;3;0;29.711.751,75  ;JP;9.591.539,90  ;5  x  ;237.694,00  ;27  x  ;27.510,80  ;701  x  ;2.755,00  ;2.148  x  ;138,30  ;35.633  x  ;41,60  ;56.349  x  ;21,00  ;623.838  x  ;10,40  ;;;;;;
;29.05.;SA;14;3;4;24;18;40;37;8;80.293.591,50  ;1  x  ;13.606.219,40  ;4  x  ;802.935,90  ;31  x  ;64.752,80  ;1.930  x  ;2.704,10  ;5.217  x  ;153,90  ;112.600  x  ;35,60  ;137.735  x  ;23,30  ;1.945.837  x  ;9,00  ;;;;;;
23.;02.06.;MI;10;41;32;43;17;38;37;4;25.360.248,00  ;JP;1.268.012,40  ;3  x  ;338.136,60  ;15  x  ;42.267,00  ;664  x  ;2.482,50  ;1.346  x  ;188,40  ;35.144  x  ;36,00  ;45.325  x  ;22,30  ;614.047  x  ;9,00  ;;;;;;
;05.06.;SA;34;19;15;31;41;44;4;7;68.996.522,25  ;1  x  ;4.717.838,50  ;11  x  ;250.896,40  ;97  x  ;17.782,60  ;2.071  x  ;2.165,50  ;5.854  x  ;117,80  ;86.523  x  ;39,80  ;123.884  x  ;22,20  ;1.448.194  x  ;10,40  ;;;;;;
24.;09.06.;MI;32;11;40;28;16;5;10;4;25.063.854,00  ;2  x  ;626.596,30  ;5  x  ;200.510,80  ;9  x  ;69.621,80  ;877  x  ;1.857,60  ;1.609  x  ;155,70  ;36.854  x  ;34,00  ;47.093  x  ;21,20  ;603.280  x  ;9,10  ;;;;;;
;12.06.;SA;3;6;36;13;30;12;45;9;66.447.072,00  ;2  x  ;1.661.176,80  ;3  x  ;885.960,90  ;31  x  ;53.586,30  ;1.754  x  ;2.462,40  ;3.016  x  ;220,30  ;110.911  x  ;29,90  ;94.939  x  ;27,90  ;1.608.100  x  ;9,00  ;;;;;;
25.;16.06.;MI;14;11;47;2;34;22;7;7;24.421.405,50  ;JP;1.221.070,20  ;2  x  ;488.428,10  ;11  x  ;55.503,10  ;548  x  ;2.896,60  ;1.649  x  ;148,00  ;25.820  x  ;47,20  ;46.609  x  ;20,90  ;465.480  x  ;11,50  ;;;;;;
;19.06.;SA;22;19;27;31;40;26;43;4;69.726.684,75  ;JP;4.707.404,40  ;2  x  ;1.394.533,60  ;29  x  ;60.109,20  ;1.412  x  ;3.209,70  ;3.458  x  ;201,60  ;89.198  x  ;39,00  ;101.625  x  ;27,40  ;1.653.230  x  ;9,20  ;;;;;;
