Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1996;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
42.;19.10.;6 ;25 ;32 ;22 ;24 ;10 ;47 ;7 ;127.364.201,25 ;JP;5.082.282,40  ;3  x  ;2.547.284,00 ;32  x;119.403,90 ;1.768  x     ;7.203,80 ;116.192  x    ;109,60 ;122.760  x  ;72,60 ;2.061.210  x;7,40  
43.;26.10.;21 ;35 ;24 ;20 ;3 ;42 ;15 ;9 ;127.261.831,25 ;JP;7.627.519,00  ;5  x  ;1.527.141,90 ;28  x;136.351,90 ;1.302  x     ;9.774,30 ;87.173  x    ;145,90 ;107.899  x  ;82,50 ;1.696.830  x;8,90  
44.;02.11.;10 ;32 ;47 ;36 ;20 ;9 ;4 ;2 ;129.230.256,25 ;JP;10.212.124,10  ;10  x  ;775.381,50 ;77  x;50.349,40 ;1.852  x     ;6.977,80 ;93.257  x    ;138,50 ;134.626  x  ;67,10 ;1.635.572  x;9,40  
45.;09.11.;16 ;4 ;48 ;18 ;28 ;7 ;3 ;2 ;138.860.022,50 ;JP;12.989.324,50  ;5  x  ;1.666.320,20 ;40  x;104.145,00 ;1.959  x     ;7.088,30 ;115.060  x    ;120,60 ;155.343  x  ;62,50 ;1.928.743  x;8,60  
46.;16.11.;26 ;21 ;20 ;2 ;36 ;23 ;42 ;5 ;148.475.103,75 ;JP;15.958.826,50  ;6  x  ;1.484.751,00 ;26  x;171.317,40 ;1.019  x     ;14.570,60 ;81.162  x    ;182,90 ;115.554  x  ;89,90 ;1.620.582  x;10,90  
47.;23.11.;20 ;44 ;23 ;38 ;36 ;39 ;43 ;9 ;158.819.666,25 ;1  x;19.135.219,80  ;6  x  ;1.588.196,60 ;24  x;198.524,50 ;1.322  x     ;12.013,50 ;90.665  x    ;175,10 ;108.442  x  ;102,50 ;1.791.344  x;10,60  
48.;30.11.;5 ;4 ;39 ;24 ;30 ;32 ;31 ;9 ;133.438.303,75 ;JP;2.668.766,00  ;2  x  ;4.003.149,10 ;26  x;153.967,20 ;1.312  x     ;10.170,60 ;97.743  x    ;136,50 ;116.227  x  ;80,30 ;1.953.773  x;8,10  
49.;07.12.;42 ;27 ;8 ;10 ;2 ;14 ;4 ;3 ;147.370.362,50 ;1  x;5.616.173,20  ;2  x  ;4.421.110,80 ;40  x;110.527,70 ;1.892  x     ;7.789,10 ;107.983  x    ;136,40 ;168.458  x  ;61,20 ;1.846.078  x;9,50  
50.;14.12.;33 ;44 ;22 ;35 ;6 ;41 ;24 ;2 ;136.185.872,50 ;JP;2.723.717,40  ;3  x  ;2.723.717,40 ;39  x;104.758,30 ;1.381  x     ;9.861,30 ;88.464  x    ;153,90 ;120.907  x  ;78,80 ;1.565.237  x;10,40  
51.;21.12.;11 ;49 ;13 ;32 ;10 ;39 ;1 ;3 ;139.520.072,50 ;JP;5.514.118,80  ;4  x  ;2.092.801,00 ;48  x;87.200,00 ;1.540  x     ;9.059,70 ;101.731  x    ;137,10 ;164.635  x  ;59,30 ;1.985.637  x;8,40  
52.;28.12.;4 ;49 ;44 ;18 ;46 ;32 ;45 ;4 ;129.433.066,25 ;1  x;8.102.780,10  ;35  x  ;221.885,20 ;43  x;90.302,10 ;4.030  x     ;3.211,70 ;146.127  x    ;88,50 ;126.008  x  ;71,90 ;1.840.077  x;8,40  
