LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
;11.05.;SA;16;29;14;43;46;40;12;8;75.010.040,25  ;JP;3.050.270,50  ;4  x  ;750.100,40  ;26  x  ;72.125,00  ;942  x  ;5.175,80  ;2.813  x  ;266,60  ;57.876  x  ;71,20  ;89.811  x  ;45,90  ;1.201.865  x  ;13,70  ;;
20.;15.05.;MI;23;13;27;34;26;46;37;6;26.268.327,75  ;1  x  ;4.889.053,40  ;unbesetzt;;13  x  ;50.516,00  ;458  x  ;3.728,00  ;2.257  x  ;116,30  ;29.854  x  ;48,30  ;54.786  x  ;26,30  ;598.044  x  ;9,60  ;;
;18.05.;SA;43;38;9;44;34;15;1;4;75.590.330,25  ;JP;2.267.709,90  ;2  x  ;1.511.806,60  ;16  x  ;118.109,80  ;1.110  x  ;4.426,40  ;2.796  x  ;270,30  ;72.458  x  ;57,30  ;83.477  x  ;49,80  ;1.433.119  x  ;11,60  ;;
21.;22.05.;MI;21;8;4;25;41;33;36;7;24.139.673,25  ;1  x  ;2.991.900,10  ;2  x  ;482.793,40  ;13  x  ;46.422,40  ;591  x  ;2.654,90  ;1.248  x  ;193,40  ;32.071  x  ;41,30  ;32.124  x  ;41,30  ;582.643  x  ;9,10  ;;
;25.05.;SA;7;31;22;5;1;19;34;3;73.593.480,75  ;3  x  ;735.934,80  ;25  x  ;117.749,50  ;51  x  ;36.075,20  ;4.368  x  ;1.095,10  ;5.348  x  ;137,60  ;165.086  x  ;28,20  ;121.019  x  ;28,20  ;2.271.718  x  ;7,10  ;;
22.;29.05.;MI;14;5;22;42;1;7;30;6;24.343.921,50  ;JP;730.317,60  ;1  x  ;973.756,80  ;19  x  ;32.031,40  ;688  x  ;2.299,90  ;1.545  x  ;157,50  ;40.455  x  ;35,00  ;35.981  x  ;35,00  ;592.113  x  ;9,00  ;;
;01.06.;SA;7;48;18;3;36;11;13;7;73.882.980,00  ;JP;2.946.807,00  ;10  x  ;295.531,90  ;42  x  ;43.977,90  ;2.341  x  ;2.051,40  ;5.432  x  ;136,00  ;114.092  x  ;35,60  ;155.718  x  ;26,00  ;1.895.714  x  ;8,50  ;;
23.;05.06.;MI;41;28;16;25;47;44;17;4;25.053.621,75  ;JP;3.698.415,60  ;1  x  ;1.002.144,80  ;10  x  ;62.634,00  ;558  x  ;2.918,40  ;1.104  x  ;226,90  ;29.207  x  ;47,10  ;35.607  x  ;38,60  ;507.678  x  ;10,80  ;;
;08.06.;SA;11;38;6;28;34;46;29;7;76.325.058,75  ;2  x  ;2.994.083,60  ;6  x  ;508.833,70  ;22  x  ;86.733,00  ;1.825  x  ;2.718,40  ;3.885  x  ;196,40  ;90.814  x  ;46,20  ;106.974  x  ;39,20  ;1.646.998  x  ;10,10  ;;
24.;12.06.;MI;23;41;29;36;17;43;27;6;24.213.630,75  ;JP;726.408,90  ;1  x  ;968.545,20  ;14  x  ;43.238,60  ;570  x  ;2.761,20  ;1.429  x  ;169,40  ;24.202  x  ;55,00  ;39.356  x  ;33,80  ;438.850  x  ;12,10  ;;
