;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;06.10.;SA;21;27;45;2;33;26;3;43.242.219,00  ;JP;2.767.502,00  ;JP;1.600.435,70  ;41  x  ;19.517,50  ;380  x  ;6.317,50  ;3.030  x  ;264,00  ;27.545  x  ;58,10  ;67.199  x  ;23,80  ;588.183  x  ;12,20  ;569.850  x  ;;;;
41.;10.10.;MI;37;14;32;18;1;45;0;21.291.403,00  ;JP;4.130.151,70  ;1  x  ;2.425.241,30  ;23  x  ;17.930,50  ;274  x  ;4.515,30  ;1.358  x  ;303,60  ;14.304  x  ;57,60  ;25.526  x  ;32,30  ;289.132  x  ;12,80  ;206.999  x  ;;;;
;13.10.;SA;3;36;7;9;27;11;7;43.786.889,00  ;3  x  ;2.310.837,50  ;10  x  ;148.135,40  ;302  x  ;2.452,50  ;1.669  x  ;1.331,30  ;12.199  x  ;60,70  ;77.355  x  ;19,10  ;151.438  x  ;9,70  ;1.027.961  x  ;6,40  ;855.508  x  ;;;;
42.;17.10.;MI;7;35;20;36;9;24;2;20.047.620,00  ;JP;1.283.047,60  ;4  x  ;188.730,80  ;47  x  ;8.031,00  ;426  x  ;2.658,10  ;1.729  x  ;218,30  ;18.048  x  ;41,80  ;31.575  x  ;23,90  ;323.927  x  ;10,40  ;238.306  x  ;;;;
;20.10.;SA;47;2;16;32;45;13;7;42.614.900,00  ;1  x  ;5.548.628,80  ;unbesetzt;;97  x  ;7.929,00  ;899  x  ;2.566,50  ;4.751  x  ;161,80  ;36.045  x  ;42,60  ;84.146  x  ;18,20  ;632.489  x  ;10,90  ;639.564  x  ;;;;
43.;24.10.;MI;41;24;37;32;5;13;7;19.707.820,00  ;JP;1.261.300,40  ;3  x  ;233.126,90  ;92  x  ;3.800,90  ;604  x  ;1.736,80  ;3.229  x  ;108,20  ;23.462  x  ;29,80  ;46.688  x  ;14,90  ;346.753  x  ;9,00  ;319.760  x  ;;;;
;27.10.;SA;30;35;47;40;8;38;2;42.479.678,00  ;JP;3.979.999,70  ;1  x  ;1.620.398,40  ;33  x  ;24.551,40  ;403  x  ;6.031,20  ;2.607  x  ;310,70  ;27.581  x  ;58,70  ;56.964  x  ;28,40  ;571.119  x  ;12,70  ;463.431  x  ;;;;
44.;31.10.;MI;4;40;13;22;16;6;5;21.291.501,00  ;1  x  ;5.342.655,70  ;1  x  ;761.377,90  ;29  x  ;13.127,20  ;296  x  ;3.858,30  ;2.378  x  ;160,00  ;17.933  x  ;42,40  ;44.096  x  ;17,20  ;339.854  x  ;10,00  ;333.863  x  ;;;;
;03.11.;SA;49;18;20;6;28;42;1;42.774.080,00  ;JP;2.737.541,10  ;2  x  ;812.202,10  ;61  x  ;13.314,70  ;588  x  ;4.143,80  ;3.017  x  ;269,20  ;32.383  x  ;50,10  ;60.161  x  ;27,00  ;632.023  x  ;11,50  ;481.091  x  ;;;;
45.;07.11.;MI;42;41;15;37;4;31;4;20.823.377,00  ;2  x  ;2.035.118,60  ;1  x  ;779.348,20  ;26  x  ;14.987,40  ;222  x  ;5.265,80  ;1.608  x  ;242,30  ;14.481  x  ;53,80  ;32.550  x  ;23,90  ;289.007  x  ;12,10  ;257.102  x  ;;;;
;10.11.;SA;3;13;14;40;29;41;7;42.620.590,00  ;JP;2.727.717,70  ;3  x  ;513.205,00  ;56  x  ;13.746,50  ;473  x  ;4.882,50  ;3.769  x  ;204,20  ;28.461  x  ;54,00  ;76.104  x  ;20,20  ;563.804  x  ;12,20  ;637.285  x  ;;;;
46.;14.11.;MI;22;9;31;4;27;41;9;20.686.254,00  ;JP;4.051.637,90  ;2  x  ;381.195,50  ;58  x  ;6.572,30  ;556  x  ;2.056,80  ;2.519  x  ;151,30  ;23.218  x  ;32,80  ;39.944  x  ;19,00  ;375.508  x  ;9,10  ;279.059  x  ;;;;
;17.11.;SA;3;40;31;18;6;39;5;43.437.750,00  ;JP;6.831.653,90  ;8  x  ;192.122,90  ;170  x  ;4.520,50  ;1.339  x  ;1.721,70  ;6.457  x  ;119,00  ;53.101  x  ;28,90  ;105.307  x  ;14,50  ;835.424  x  ;8,20  ;713.805  x  ;;;;
47.;21.11.;MI;30;24;29;47;18;42;7;21.477.444,00  ;JP;8.206.210,30  ;JP;775.191,00  ;29  x  ;13.365,30  ;206  x  ;5.644,50  ;2.052  x  ;188,80  ;14.158  x  ;54,70  ;40.843  x  ;18,90  ;291.202  x  ;11,90  ;322.451  x  ;;;;
;24.11.;SA;20;37;15;45;14;40;1;44.436.762,00  ;JP;11.050.163,00  ;JP;2.501.153,80  ;39  x  ;22.127,70  ;373  x  ;6.940,80  ;2.455  x  ;351,50  ;25.261  x  ;68,30  ;49.648  x  ;34,70  ;526.815  x  ;14,70  ;422.960  x  ;;;;
48.;28.11.;MI;31;49;48;28;26;23;0;22.770.508,00  ;JP;12.507.475,50  ;JP;3.372.343,40  ;38  x  ;11.463,00  ;307  x  ;4.256,60  ;1.531  x  ;284,50  ;17.828  x  ;48,80  ;31.285  x  ;27,80  ;360.517  x  ;10,80  ;243.209  x  ;;;;
;01.12.;SA;23;46;31;6;8;27;2;47.040.389,00  ;1  x  ;15.518.060,30  ;5  x  ;1.025.608,40  ;77  x  ;11.400,60  ;862  x  ;3.055,10  ;4.396  x  ;199,60  ;44.057  x  ;39,80  ;79.760  x  ;22,00  ;794.285  x  ;9,90  ;590.524  x  ;;;;
49.;05.12.;MI;48;29;49;36;47;13;5;22.633.700,00  ;JP;1.448.556,80  ;1  x  ;845.618,80  ;24  x  ;17.617,00  ;255  x  ;4.974,20  ;1.755  x  ;240,90  ;15.372  x  ;55,00  ;35.793  x  ;23,60  ;303.706  x  ;12,50  ;282.421  x  ;;;;
;08.12.;SA;12;44;26;25;6;46;3;46.450.262,00  ;2  x  ;2.210.686,70  ;3  x  ;564.650,60  ;103  x  ;8.223,00  ;839  x  ;3.028,50  ;4.893  x  ;173,00  ;42.375  x  ;39,90  ;89.094  x  ;19,00  ;779.886  x  ;9,70  ;662.559  x  ;;;;
50.;12.12.;MI;3;20;7;34;48;33;6;20.761.914,00  ;JP;1.328.762,40  ;2  x  ;370.738,90  ;34  x  ;10.904,00  ;294  x  ;3.783,00  ;2.145  x  ;172,80  ;17.617  x  ;42,00  ;42.873  x  ;17,20  ;342.972  x  ;9,70  ;327.483  x  ;;;;
;15.12.;SA;30;45;31;23;1;37;9;43.892.629,00  ;JP;4.137.890,60  ;2  x  ;823.826,30  ;53  x  ;15.543,80  ;534  x  ;4.628,20  ;2.662  x  ;309,40  ;25.344  x  ;65,00  ;60.270  x  ;27,30  ;545.151  x  ;13,60  ;532.132  x  ;;;;
51.;19.12.;MI;41;34;19;4;32;12;4;22.074.364,00  ;JP;5.550.649,80  ;7  x  ;115.007,80  ;58  x  ;6.940,10  ;521  x  ;2.317,80  ;2.585  x  ;155,70  ;23.082  x  ;34,80  ;44.756  x  ;17,90  ;397.031  x  ;9,10  ;314.775  x  ;;;;
;22.12.;SA;20;43;25;21;8;44;5;47.376.421,00  ;JP;8.582.740,70  ;1  x  ;1.757.072,90  ;48  x  ;18.302,80  ;441  x  ;5.976,40  ;3.114  x  ;282,10  ;25.861  x  ;67,90  ;68.925  x  ;25,40  ;557.202  x  ;14,10  ;617.078  x  ;;;;
52.;26.12.;MI;2;43;30;22;36;16;4;23.715.223,00  ;JP;10.100.514,90  ;2  x  ;452.461,10  ;43  x  ;10.522,30  ;418  x  ;3.247,30  ;1.590  x  ;284,50  ;15.991  x  ;56,50  ;31.460  x  ;28,70  ;305.374  x  ;13,30  ;258.123  x  ;;;;
;29.12.;SA;47;4;14;25;38;44;4;58.926.969,00  ;JP;13.871.840,90  ;3  x  ;737.931,70  ;133  x  ;8.322,50  ;942  x  ;3.525,10  ;5.818  x  ;190,20  ;50.086  x  ;44,10  ;96.278  x  ;22,90  ;883.483  x  ;11,20  ;710.841  x  ;;;;
