LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2005
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2005;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
27.;06.07.;MI;47;11;16;29;38;35;1;8;25.178.046,00;JP;1.258.902,30;5  x  ;201.424,30;16  x  ;39.340,60;655  x  ;2.498,50;1.193  x  ;211;29.950  x  ;42;31.745  x  ;31,7;511.550  x  ;10,8
;09.07.;SA;48;27;4;5;40;42;21;3;63.414.959,25;1  x  ;4.429.650,20;1  x  ;2.536.598,30;19  x  ;83.440,70;974  x  ;4.232,00;2.722  x  ;232,9;63.836  x  ;49,6;85.088  x  ;29,8;1.326.762  x  ;10,5
28.;13.07.;MI;47;14;18;10;39;24;7;9;24.238.947,75;JP;1.211.947,30;1  x  ;969.557,90;18  x  ;33.665,20;622  x  ;2.533,00;1.587  x  ;152,7;30.629  x  ;39,5;43.758  x  ;22,1;529.541  x  ;10
;16.07.;SA;1;42;49;30;25;31;17;1;62.202.206,25;1  x  ;4.322.057,60;1  x  ;2.488.088,20;35  x  ;44.430,10;1.116  x  ;3.622,80;3.639  x  ;170,9;63.767  x  ;48,7;110.890  x  ;22,4;1.259.573  x  ;10,8
29.;20.07.;MI;4;43;19;10;25;33;14;3;24.158.381,25;JP;1.207.919,00;8  x  ;120.791,90;8  x  ;75.494,90;839  x  ;1.871,60;1.479  x  ;163,3;37.802  x  ;31,9;36.075  x  ;26,7;637.747  x  ;8,3
;23.07.;SA;46;2;37;14;47;45;13;9;62.488.133,25;JP;4.332.325,60;1  x  ;2.499.525,30;19  x  ;82.221,20;743  x  ;5.466,60;2.419  x  ;258,3;53.529  x  ;58,3;75.147  x  ;33,2;1.130.430  x  ;12,1
30.;27.07.;MI;15;25;27;47;38;16;24;8;25.505.135,25;JP;5.607.582,30;2  x  ;510.102,70;14  x  ;45.544,80;784  x  ;2.114,50;1.428  x  ;178,6;37.400  x  ;34;41.535  x  ;24,5;579.844  x  ;9,6
;30.07.;SA;45;19;42;12;22;43;18;1;66.259.176,00;JP;8.920.541,10;5  x  ;530.073,40;13  x  ;127.421,40;999  x  ;4.311,10;2.405  x  ;275,5;62.954  x  ;52,6;77.628  x  ;34,1;1.244.002  x  ;11,7
31.;03.08.;MI;10;24;33;4;12;7;49;7;32.042.303,25;1  x  ;10.522.656,20;4  x  ;320.423,00;16  x  ;50.066,00;1.564  x  ;1.331,60;2.611  x  ;122,7;66.434  x  ;24,1;60.081  x  ;21,3;958.179  x  ;7,3
;06.08.;SA;24;33;23;7;1;42;3;5;63.114.174,00;JP;3.155.708,70;5  x  ;504.913,30;36  x  ;43.829,20;1.356  x  ;3.025,30;5.354  x  ;117,8;79.747  x  ;39,5;155.217  x  ;16,2;1.445.493  x  ;9,6
32.;10.08.;MI;35;45;8;9;16;20;23;1;26.100.108,00;JP;4.460.714,10;JP;1.044.004,30;16  x  ;40.781,40;378  x  ;4.488,10;1.117  x  ;233,6;23.646  x  ;55,1;36.570  x  ;28,5;493.766  x  ;11,6
