Lotto 6 aus 49 am Samstag / Lotto 6 aus 49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 2000
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2000;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
38.;23.09.;;35;18;26;39;9;45;29;3;179.206.774,50 ;4  x  ;5.117.000,50  ;10  x  ;716.827,00 ;81  x  ;55.310,70 ;2.877  x  ;4.048,80 ;6.827  x  ;262,40 ;128.347  x  ;76,70 ;160.298  x  ;61,40 ;2.110.511  x  ;18,60  
39.;30.09.;;10;11;35;1;7;2;31;3;162.854.109,00 ;1  x  ;4.885.623,20  ;7  x  ;930.594,90 ;55  x  ;74.024,50 ;2.738  x  ;3.866,10 ;6.140  x  ;265,20 ;128.890  x  ;69,40 ;158.462  x  ;56,50 ;2.056.327  x  ;17,40  
40.;07.10.;;26;38;3;32;1;48;27;7;167.862.879,00 ;2  x  ;2.517.943,10  ;11  x  ;610.410,40 ;48  x  ;87.428,50 ;5.468  x  ;1.995,40 ;5.200  x  ;322,80 ;169.161  x  ;58,40 ;146.661  x  ;58,40 ;2.134.209  x  ;17,30  
41.;14.10.;;39;47;37;38;2;26;11;2;166.579.716,00 ;1  x  ;11.660.580,10  ;unbesetzt;;50  x  ;83.289,80 ;1.594  x  ;6.792,70 ;6.801  x  ;244,90 ;102.575  x  ;89,30 ;172.594  x  ;53,00 ;1.816.403  x  ;20,10  
42.;21.10.;;21;32;24;30;10;33;29;2;160.496.230,50 ;1  x  ;4.814.886,90  ;5  x  ;1.283.969,80 ;23  x  ;174.452,40 ;1.921  x  ;5.430,60 ;3.375  x  ;475,50 ;120.693  x  ;75,80 ;112.152  x  ;75,80 ;2.157.672  x  ;16,30  
43.;28.10.;;35;29;13;49;11;5;47;8;159.560.130,00 ;2  x  ;2.393.401,90  ;9  x  ;709.156,10 ;98  x  ;40.704,10 ;1.882  x  ;5.510,80 ;4.364  x  ;365,60 ;95.976  x  ;91,40 ;114.209  x  ;76,80 ;1.742.383  x  ;20,10  
44.;04.11.;;37;46;22;48;43;17;26;3;161.463.613,50 ;2  x  ;2.421.954,20  ;5  x  ;1.291.708,90 ;43  x  ;93.874,10 ;1.295  x  ;8.104,30 ;4.820  x  ;334,90 ;79.561  x  ;111,60 ;128.145  x  ;69,30 ;1.511.927  x  ;23,40  
45.;11.11.;;39;49;24;26;27;41;33;6;159.522.411,00 ;1  x  ;4.785.672,30  ;3  x  ;2.126.965,40 ;54  x  ;73.852,90 ;1.989  x  ;5.213,10 ;5.150  x  ;309,70 ;105.422  x  ;83,20 ;146.345  x  ;59,90 ;1.850.153  x  ;18,90  
46.;18.11.;;8;1;23;37;47;6;49;9;159.475.294,50 ;JP;4.784.258,80  ;4  x  ;1.594.752,90 ;42  x  ;94.925,70 ;1.371  x  ;7.560,80 ;3.906  x  ;408,20 ;81.030  x  ;108,20 ;115.009  x  ;76,20 ;1.591.675  x  ;22,00 
47.;25.11.;;48;4;10;37;43;14;12;2;160.061.440,50 ;JP;9.586.102,00  ;4  x  ;1.600.614,40 ;17  x  ;235.384,40 ;1.073  x  ;9.696,10 ;2.787  x  ;574,30 ;67.173  x  ;131,00 ;100.670  x  ;87,40 ;1.387.149  x  ;25,30  
48.;02.12.;;46;4;45;32;42;43;35;5;170.411.881,50 ;1  x  ;14.698.458,40  ;2  x  ;3.408.237,60 ;40  x  ;106.507,40 ;1.289  x  ;8.593,30 ;3.691  x  ;461,60 ;93.365  x  ;100,30 ;111.089  x  ;84,30 ;1.704.383  x  ;21,90  
49.;06.12.;MI;30;29;33;8;9;43;16;8;43.256.400,00 ;JP;1.297.692,00  ;2  x  ;865.128,00 ;8  x  ;135.176,20 ;344  x  ;8.173,40 ;992  x  ;436,00 ;20.311  x  ;117,10 ;30.690  x  ;77,50 ;426.811  x  ;22,20  
;09.12.;SA;40;4;26;15;11;33;30;0;168.003.564,00 ;1  x  ;6.337.798,90  ;14  x  ;480.010,10 ;57  x  ;73.685,70 ;2.834  x  ;3.853,20 ;5.831  x  ;288,10 ;102.175  x  ;90,40 ;154.588  x  ;59,70 ;1.831.132  x  ;20,10  
50.;13.12.;MI;15;37;17;23;26;5;19;9;41.652.145,50 ;JP;1.249.564,30  ;JP;1.666.085,80 ;7  x  ;148.757,60 ;518  x  ;5.226,60 ;1.294  x  ;321,80 ;28.801  x  ;79,50 ;40.342  x  ;56,70 ;485.723  x  ;18,80  
;16.12.;SA;24;27;31;11;48;40;42;7;161.695.293,00 ;2  x  ;3.050.211,50  ;12  x  ;677.824,70 ;68  x  ;59.446,70 ;2.931  x  ;3.585,80 ;5.847  x  ;276,50 ;133.132  x  ;66,80 ;134.646  x  ;66,00 ;2.081.493  x  ;17,00  
51.;20.12.;MI;38;7;35;26;6;24;25;3;42.949.096,50 ;JP;1.288.472,80  ;3  x  ;572.654,60 ;15  x  ;71.581,80 ;484  x  ;5.767,90 ;1.295  x  ;331,60 ;26.753  x  ;88,20 ;39.206  x  ;60,20 ;510.491  x  ;18,50  
;23.12.;SA;28;11;20;33;18;13;2;3;172.045.053,00 ;2  x  ;3.224.912,10  ;4  x  ;1.720.450,50 ;33  x  ;130.337,10 ;1.536  x  ;7.280,50 ;4.783  x  ;359,70 ;95.968  x  ;98,60 ;148.049  x  ;63,90 ;1.892.124  x  ;20,00  
52.;27.12.;MI;27;13;24;11;41;48;42;0;39.761.101,50 ;JP;1.192.833,00  ;1  x  ;1.590.444,00 ;17  x  ;58.472,20 ;709  x  ;3.645,20 ;1.398  x  ;284,40 ;35.818  x  ;65,80 ;30.624  x  ;65,80 ;507.039  x  ;17,20  
;30.12.;SA;17;47;2;27;5;7;46;4;170.074.404,00 ;6  x  ;1.049.177,50  ;36  x  ;188.971,50 ;53  x  ;80.223,70 ;8.171  x  ;1.352,90 ;5.941  x  ;286,20 ;227.720  x  ;53,20 ;123.692  x  ;53,20 ;2.384.838  x  ;15,60  
