Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	19	9	2015	8	17	12	37	44	29	 	3	61872390	30168702,1	Jackpot	286037,9	8	12043,7	95	3776	909	209,7	5455	47,2	48480	21,8	104795	11,2	919029	5	818666
Mi	23	9	2015	33	24	14	18	10	44	 	9	47940163	33236872,5	1	297372,1	6	5947,4	150	2038,3	1313	170,9	5220	36,4	48988	20,5	86852	9,6	830218	5	611916
Sa	26	9	2015	34	6	33	31	16	15	 	7	49805759	3187568,5	Jackpot	599427,5	3	7310	123	3388,7	796	177,2	5072	46,1	38953	18,7	95692	10,8	744114	5	746497
Mi	30	9	2015	16	39	49	2	1	22	 	8	23906073	4717557,1	Jackpot	445102,3	2	21195,3	21	5195,7	257	251,7	1768	54,1	16436	23,6	37612	11,8	337760	5	304200
Sa	3	10	2015	41	31	40	32	33	18	 	8	46707900	7706862,7	1	337683,1	5	4936,8	171	1975,5	1282	151,7	5562	34,8	48387	17	99091	9	842002	5	696097
Mi	7	10	2015	25	33	28	7	11	12	 	4	22177246	1419343,7	Jackpot	795526,4	Jackpot	9040	44	2480,8	481	134,1	2965	28,6	27775	15,4	51375	7,4	478146	5	342803
Sa	10	10	2015	49	40	26	5	38	37	 	1	48299031	4510481,6	Jackpot	2624324,1	1	11574,6	79	4106,5	668	234,1	3906	45,3	40294	23,9	76467	10	816636	5	554080
Mi	14	10	2015	22	28	17	15	41	29	 	5	23319940	6002957,7	Jackpot	428991,4	2	11289,2	38	5127,3	251	186,8	2296	48,5	17662	21,4	39996	12,4	309388	5	317533
Sa	17	10	2015	28	41	10	19	23	9	 	0	49372915	9162824,2	Jackpot	464010,2	4	11317,3	82	2429,3	1146	181,5	5113	30,9	59967	21,2	87537	8,2	1011676	5	593236
Mi	21	10	2015	17	4	24	39	49	18	 	2	24759230	10747414,9	Jackpot	913571,4	Jackpot	12345,5	37	3713,7	369	197,7	2310	40,6	22449	20,2	45128	9,4	434682	5	331862
