SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
26.;26.06.;MI;1;7;8;5;2;5;2.374.195,00   ;3  x   ;25  x   ;216  x   ;2.086  x   ;20.458  x   ;199.167  x   ;;;;;;;;;;;;;
;29.06.;SA;2;0;3;6;6;9;5.815.708,75   ;3  x   ;37  x   ;410  x   ;4.280  x   ;41.845  x   ;377.175  x   ;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;;199   ;1.759   ;16.686   ;169.177   ;1.690.657   ;16.903.726   ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
27.;03.07.;MI;3;4;5;8;5;0;2.380.611,25   ;1  x   ;21  x   ;127  x   ;1.291  x   ;13.772  x   ;128.616  x   ;;;;;;;;;;;;;
;06.07.;SA;9;8;5;2;7;7;5.588.270,00   ;4  x   ;54  x   ;538  x   ;5.579  x   ;61.111  x   ;492.130  x   ;;;;;;;;;;;;;
28.;10.07.;MI;6;7;7;0;6;3;2.313.191,25   ;3  x   ;19  x   ;168  x   ;1.743  x   ;18.404  x   ;176.393  x   ;;;;;;;;;;;;;
