 5 17 28 40 44 |  1  8 | 0.000 0.363 1.038 0.956 0.930 1.073 0.948 0.961 0.988 1.025 0.976 0.986 (2017, 10, 6)
11 12 26 28 37 |  8 10 | 0.000 0.000 1.519 0.819 0.894 1.153 0.755 0.720 0.959 1.170 0.702 0.987 (2016, 6, 10)
 2 20 23 29 50 |  4  5 | 0.000 0.393 2.468 0.866 0.798 0.791 0.859 0.924 0.913 0.876 0.954 0.987 (2017, 10, 27)
11 19 24 46 49 |  1  5 | 0.000 1.963 1.122 0.907 0.938 1.016 0.984 1.002 0.954 0.964 1.007 0.987 (2015, 7, 31)
 1 14 17 24 50 |  8  9 | 5.686 1.066 0.406 0.935 0.858 0.888 0.745 0.743 0.935 0.979 0.754 0.988 (2017, 11, 10)
 4 10 26 33 48 |  5  9 | 0.000 2.017 2.881 1.614 1.132 1.233 1.059 1.036 0.999 1.074 1.015 0.992 (2016, 5, 27)
11 14 35 44 45 |  5  6 | 4.784 1.196 0.342 0.936 0.821 0.769 0.940 0.974 0.913 0.868 0.990 0.992 (2015, 1, 1)
 6 13 15 34 35 |  1  5 | 0.000 0.851 0.810 0.857 0.937 0.962 0.917 0.923 0.984 1.022 0.912 0.995 (2020, 4, 24)
 6 11 12 21 41 |  1  2 | 2.201 0.550 0.786 1.105 0.972 0.947 1.065 0.886 1.038 1.034 0.829 0.995 (2020, 5, 1)
16 18 34 36 49 |  6  8 | 0.000 1.466 1.117 0.730 1.060 0.945 0.967 0.938 1.000 0.917 0.936 0.995 (2015, 10, 23)
 9 14 28 30 37 |  3 10 | 0.000 0.864 1.605 1.014 1.044 1.115 0.875 0.832 1.029 1.089 0.826 0.996 (2020, 3, 20)
 4 14 25 34 49 |  4  9 | 0.000 0.488 1.255 0.954 0.930 0.887 1.105 1.066 1.020 0.969 1.047 0.998 (2020, 1, 10)
12 35 36 39 47 |  3  6 | 0.000 0.000 0.238 1.187 0.961 0.887 1.218 1.267 0.999 0.922 1.277 1.000 (2015, 7, 10)
 1  8 15 19 37 |  7  9 | 0.000 1.088 1.555 0.348 0.885 1.166 0.675 0.683 1.019 1.145 0.668 1.001 (2014, 12, 12)
14 16 21 30 37 |  4  8 | 0.000 1.053 0.602 1.273 0.937 1.003 1.178 1.214 1.006 0.956 1.237 1.001 (2019, 4, 12)
 6 14 20 26 46 |  2  4 | 0.000 1.214 0.555 1.019 1.030 1.015 0.973 0.974 1.028 0.968 0.991 1.002 (2016, 7, 22)
 2 12 15 29 44 |  7 10 | 0.000 1.134 1.080 0.860 1.010 1.148 0.775 0.782 1.045 1.111 0.745 1.002 (2017, 9, 29)
 9 16 17 29 39 |  1  8 | 0.000 1.136 1.299 0.889 1.008 1.144 0.962 0.922 1.067 1.151 0.904 1.002 (2020, 6, 5)
10 17 32 36 47 |  2  5 | 0.000 0.395 0.677 1.012 0.899 0.920 1.147 1.119 0.966 0.918 1.146 1.003 (2017, 9, 22)
 7 16 22 30 48 |  2  8 | 0.000 0.806 0.922 1.300 0.990 0.911 1.182 1.210 0.984 0.978 1.219 1.003 (2020, 6, 12)
 6 29 38 45 47 |  2  3 | 0.000 1.436 0.957 0.970 0.958 0.859 0.724 0.779 0.962 0.865 0.838 1.003 (2019, 2, 1)
 6 15 18 21 38 |  1  4 | 0.000 0.874 0.999 0.870 1.069 1.088 0.866 0.874 1.019 1.058 0.857 1.004 (2016, 8, 12)
15 28 30 37 43 |  2  5 | 0.000 1.464 1.171 1.062 0.998 0.949 1.093 1.090 1.012 0.970 1.117 1.006 (2016, 9, 16)
14 16 28 34 35 |  3  9 | 6.112 2.292 1.746 0.978 1.095 1.060 1.219 1.153 1.118 1.095 1.155 1.006 (2016, 10, 21)
 7  8 20 35 38 |  5  9 | 0.000 0.758 0.722 0.683 0.861 0.881 0.947 1.014 0.955 0.967 1.001 1.007 (2019, 6, 7)
19 23 26 27 49 |  3 10 | 5.764 0.360 1.029 0.615 0.855 0.881 0.756 0.751 0.978 1.057 0.758 1.008 (2015, 11, 13)
10 12 35 36 43 |  2  5 | 0.000 1.371 0.940 0.916 0.959 0.860 1.097 1.100 0.963 0.917 1.125 1.009 (2019, 5, 31)
14 16 32 34 47 |  7  9 | 3.725 1.397 1.197 0.977 1.063 1.032 0.921 0.931 1.042 0.976 0.926 1.009 (2020, 6, 26)
 9 20 27 35 48 |  5  9 | 0.000 1.085 0.930 0.849 0.983 1.011 1.157 1.061 0.999 0.977 1.014 1.009 (2020, 8, 14)
20 27 33 35 46 |  5  9 | 0.000 1.197 1.197 1.447 1.207 0.964 1.213 1.034 1.167 0.978 1.004 1.011 (2019, 5, 17)
 7 20 21 33 41 |  1  2 | 0.000 0.910 2.081 0.906 1.141 1.136 0.791 0.826 1.053 1.060 0.819 1.011 (2016, 2, 12)
 1 16 18 29 44 |  2  7 | 5.263 1.645 0.376 1.146 0.889 0.791 1.210 1.264 0.967 0.892 1.338 1.013 (2015, 2, 20)
 4 18 35 41 43 |  4  5 | 0.000 1.555 1.111 1.023 1.035 0.822 0.982 1.058 0.977 0.853 1.097 1.014 (2014, 11, 21)
 2  9 23 36 47 |  2  9 | 0.000 1.143 2.122 1.564 1.202 1.223 1.355 1.189 1.050 1.085 1.056 1.017 (2019, 1, 18)
24 25 28 35 48 |  4  8 | 0.000 0.809 0.616 1.131 0.828 0.805 1.267 1.319 0.962 0.889 1.298 1.017 (2019, 1, 25)
12 34 36 47 48 |  5  7 | 0.000 0.556 0.318 1.186 0.987 0.905 1.199 1.114 1.050 0.951 1.144 1.019 (2020, 7, 3)
15 19 34 39 49 |  2  7 | 0.000 0.727 0.415 0.999 0.950 0.880 1.127 1.166 0.998 0.954 1.211 1.020 (2020, 10, 2)
