     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
07.10.1956; ;33;44;29;36; 9; 6;--;39; ;       ;      ; 12.916.441,50;         2;   807.277,50;       399;     4.046,50;    23.628;        68,00;   446.584;         3,60;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
14.10.1956; ;32;10;11;25;12;42;--;27; ;       ;      ; 12.830.637,50;        11;   145.802,50;       541;     2.964,50;    32.001;        50,00;   580.308;         2,70;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
21.10.1956; ;41;22; 1; 2;48;36;--;20; ;       ;      ; 12.555.385,00;         1;   500.000,00;         2;   500.000,00;       134;    12.230,00;    10.480;       149,50;   255.138;         6,10;          ;             ;          ;             ;          ;             ;          ;             
28.10.1956; ;17; 5;49;39;29;47;--;31; ;       ;      ; 12.605.154,50;        15;   105.042,50;        --;           --;       544;     2.896,00;    25.981;        60,50;   422.091;         3,70;          ;             ;          ;             ;          ;             ;          ;             
04.11.1956; ;38; 7;16;19;39;33;--;42; ;       ;      ; 12.328.239,50;         1;   500.000,00;         6;   177.007,00;       434;     3.502,00;    28.881;        53,00;   536.314;         2,80;          ;             ;          ;             ;          ;             ;          ;             
11.11.1956; ;29;36; 7;34;49;14;--;15; ;       ;      ; 12.214.001,50;         3;   500.000,00;         7;     7.405,00;       419;     3.583,50;    21.912;        69,50;   391.911;         3,90;          ;             ;          ;             ;          ;             ;          ;             
18.11.1956; ;37;40;39;28;16;14;--;42; ;       ;      ; 12.439.981,00;         1;   500.000,00;         6;   180.013,00;       366;     4.180,00;    18.691;        83,00;   360.469;         4,30;          ;             ;          ;             ;          ;             ;          ;             
25.11.1956; ;16;36;44;25; 6; 9;--;34; ;       ;      ; 11.952.043,50;         4;   373.501,00;        --;           --;       832;     1.795,50;    38.239;        39,00;   488.028;         3,00;          ;             ;          ;             ;          ;             ;          ;             
02.12.1956; ;15; 9;47;10;27;21;--;14; ;       ;      ; 12.943.977,00;         3;   500.000,00;        --;           --;       458;     3.790,00;    27.910;        58,00;   487.502;         3,30;          ;             ;          ;             ;          ;             ;          ;             
09.12.1956; ;32;11;13; 7;43; 6;--;33; ;       ;      ; 13.051.678,50;        11;   148.314,50;        --;           --;       541;     3.015,50;    35.649;        45,70;   619.815;         2,60;          ;             ;          ;             ;          ;             ;          ;             
16.12.1956; ;17;20;23;15;31;35;--;26; ;       ;      ; 13.215.823,50;         1;   500.000,00;         8;   150.004,00;       267;     6.007,00;    20.202;        81,50;   414.209;         3,90;          ;             ;          ;             ;          ;             ;          ;             
23.12.1956; ;49;45;13;47; 1; 5;--;29; ;       ;      ; 12.555.522,50;         1;   500.000,00;         9;   124.749,00;       256;     5.922,00;    14.829;       105,50;   330.619;         4,70;          ;             ;          ;             ;          ;             ;          ;             

Spieleinsätze und Quoten in DM

Alle Angaben ohne Gewähr



     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
